DepComN;NomCN;DepComA;NomCA;ChefLieu;ComDLG;Date1;Date2;Date3;;;;;;;;;;;;;;;;;
14281;Formigny La Bataille;14004;Aignerville;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14281;Formigny La Bataille;14235;Écrammeville;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14281;Formigny La Bataille;14382;Louvières;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14342;Isigny-sur-Mer;14342;Isigny-sur-Mer;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14342;Isigny-sur-Mer;14142;Castilly;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14342;Isigny-sur-Mer;14481;Oubeaux (Les);N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14342;Isigny-sur-Mer;14462;Neuilly-la-Forêt;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14342;Isigny-sur-Mer;14763;Vouilly;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14347;Dialan sur Chaîne;14347;Jurques;O;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14347;Dialan sur Chaîne;14413;Mesnil-Auzouf (Le);N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14349;Laize-Clinchamps;14349;Laize-la-Ville;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14349;Laize-Clinchamps;14164;Clinchamps-sur-Orne;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14355;Ponts sur Seulles;14355;Lantheuil;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14355;Ponts sur Seulles;14008;Amblie;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14355;Ponts sur Seulles;14690;Tierceville;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14406;Moulins en Bessin;14406;Martragny;O;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14406;Moulins en Bessin;14186;Coulombs;N;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14406;Moulins en Bessin;14212;Cully;N;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14406;Moulins en Bessin;14548;Rucqueville;N;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14410;Méry-Bissières-en-Auge;14410;Méry-Corbon;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14410;Méry-Bissières-en-Auge;14075;Bissières;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14357;Terres de Druance;14357;Lassy;O;O;02/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14357;Terres de Druance;14597;Saint-Jean-le-Blanc;N;O;02/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14357;Terres de Druance;14662;Saint-Vigor-des-Mézerets;N;O;02/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14431;Mézidon-Canon;O;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14031;Authieux-Papion (Les);N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14189;Coupesarte;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14201;Crèvecœur-en-Auge;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14208;Croissanville;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14313;Grandchamp-le-Château;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14359;Lécaude;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14386;Magny-la-Campagne;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14387;Magny-le-Freule;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14422;Mesnil-Mauger (Le);N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14444;Monteille;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14493;Percy-en-Auge;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14600;Saint-Julien-le-Faucon;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14431;Mézidon Vallée d'Auge;14749;Vieux-Fumé;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14456;Moult-Chicheboville;14456;Moult;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14456;Moult-Chicheboville;14158;Chicheboville;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14475;Val d'Arry;14475;Noyers-Missy;O;O (*);08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14475;Val d'Arry;14373;Locheur (Le);N;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14475;Val d'Arry;14702;Tournay-sur-Odon;N;O;08/09/2016;;24/12/2016;;;;;;;;;;;;;;;;;
14527;Belle Vie en Auge;14527;Biéville-Quétiéville;O;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14527;Belle Vie en Auge;14608;Saint-Loup-de-Fribois;N;O;08/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14579;Seulline;14579;Seulline;O;O (*);26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14579;Seulline;14073;Bigne (La);N;O;26/09/2016;;27/12/2016;;;;;;;;;;;;;;;;;
14591;Aure sur Mer;14591;Sainte-Honorine-des-Pertes;O;O;09/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14591;Aure sur Mer;14551;Russy;N;O;09/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14654;Saint-Pierre-sur-Dives;O;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14081;Boissey;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14099;Bretteville-sur-Dives;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14331;Hiéville;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14472;Oudon (L');N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14433;Mittois;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14450;Montviette;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14489;Ouville-la-Bien-Tournée;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14580;Saint-Georges-en-Auge;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14616;Sainte-Marguerite-de-Viette;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14688;Thiéville;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14729;Vaudeloges;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14654;Saint-Pierre-en-Auge;14750;Vieux-Pont-en-Auge;N;O;08/09/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14658;Saint-Sever-Calvados;O;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14151;Champ-du-Boult;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14192;Courson;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14279;Fontenermont;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14296;Gast (Le);N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14415;Mesnil-Benoist (Le);N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14416;Mesnil-Caussois (Le);N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14417;Mesnil-Clinchamps;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14611;Saint-Manvieu-Bocage;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
14658;Noues de Sienne;14671;Sept-Frères;N;O;06/12/2016;;18/01/2017;;;;;;;;;;;;;;;;;
